hotel_name,city,star_rating,image_url,description,address,year_built,year_renovated,total_rooms,room_types,building_area_m2,land_area_m2,facilities,survey_pdf
The Trans Luxury Hotel Bandung,Bandung,5,images/transluxury.jpg,Luxury hotel within Trans Studio complex.,"Jl. Gatot Subroto No.289, Bandung",2012,2019,280,Premier / Club / Suite,40000,60000,"Pool, Spa, Convention Hall, Restaurants, Gym",survey/transluxury.pdf
Hilton Bandung,Bandung,5,images/hilton.jpg,Modern business hotel with warm design.,"Jl. H.O.S. Cokroaminoto No.41-43, Bandung",2009,2018,186,Guest / Executive / Suite,35000,45000,"Pool, Spa, Business Center, Meeting Rooms",survey/hilton.pdf
Pullman Bandung Grand Central,Bandung,5,images/pullman.jpg,Upscale hotel next to Gedung Sate.,"Jl. Diponegoro No.27, Bandung",2020,2020,279,Deluxe / Executive / Suite,38000,48000,"Ballroom, Gym, Pool, Spa",survey/pullman.pdf
The Papandayan Hotel,Bandung,5,images/papandayan.jpg,Timeless architecture with classic Indonesian charm.,"Jl. Gatot Subroto No.83, Bandung",1990,2011,172,Classic / Premier / Suite,25000,30000,"Spa, Gym, Pool, Lounge",survey/papandayan.pdf
Crowne Plaza Bandung by IHG,Bandung,5,images/crowneplaza.jpg,City center hotel by IHG for business and leisure.,"Jl. Lembong No.19, Bandung",2015,2015,270,Superior / Club / Suite,32000,40000,"Pool, Gym, Meeting Rooms, Lounge",survey/crowneplaza.pdf
The Gaia Hotel Bandung,Bandung,5,images/gaia.jpg,Luxury hillside resort blending modern and nature.,"Jl. Dr. Setiabudi No.430, Bandung",2021,2021,280,Nature / Sky / Suite,45000,60000,"Infinity Pool, Spa, Kids Area, Restaurants",survey/gaia.pdf
InterContinental Bandung Dago Pakar,Bandung,5,images/intercontinental.jpg,Panoramic Dago hotel by IHG with elegant design.,"Jl. Resor Dago Pakar Raya 2B, Bandung",2015,2015,225,Premier / Club / Suite,38000,50000,"Golf View, Pool, Banquet, Spa",survey/intercontinental.pdf
Grand Mercure Bandung Setiabudi,Bandung,5,images/grandmercure.jpg,Mercure’s upscale branch with artful décor.,"Jl. Dr. Setiabudi No.269-275, Bandung",2014,2014,204,Superior / Deluxe / Suite,30000,35000,"Pool, Lounge, Fitness, Spa",survey/grandmercure.pdf
Sheraton Bandung Hotel & Towers,Bandung,5,images/sheraton.jpg,Resort-style hotel in Dago valley with greenery.,"Jl. Ir. H. Juanda No.390, Bandung",1990,2012,156,Garden / Pool / Tower,24000,28000,"Pool, Tennis, Spa, Kids Club",survey/sheraton.pdf
Hotel Indigo Bandung Dago Pakar,Bandung,5,images/indigo.jpg,Newest 5-star by IHG with artistic Bandung flair.,"Jl. Dago Pakar No.28, Bandung",2023,2023,150,Standard / Deluxe / Suite,28000,35000,"Pool, Café, Gym, Lounge",survey/indigo.pdf
Padma Hotel Bandung,Bandung,5,images/padma.jpg,Iconic hillside hotel with scenic forest views.,"Jl. Ranca Bentang No.56-58, Ciumbuleuit, Bandung",2010,2020,124,Premier / Hillside / Suite,20000,30000,"Infinity Pool, Spa, Outdoor Activities",survey/padma.pdf
